zone_code,zone_name,year,month,month_name,tickets_booked,tickets_cancelled,passengers_booked,passengers_cancelled,earning,refund,net
ALL,All India,2025,1,January,164926,32199,253335,52006,214384633,37409756,176974877
CR,Central Railway,2025,1,January,1446,252,3067,435,1669119,392089,1277030
EC,East Central Railway,2025,1,January,967,120,1936,2568,1676781,230972,1445809
EO,East Coast Railway,2025,1,January,273,217,804,217,612792,63330,549462
ER,Eastern Railway,2025,1,January,1628,153,1990,193,1677818,281464,1396354
INTERNET,Internet / Online Booking,2025,1,January,148565,29826,218749,45704,189082292,33885022,155197270
KR,Konkan Railway,2025,1,January,109,26,202,29,231584,9094,222490
NC,North Central Railway,2025,1,January,571,88,1175,141,750273,98741,651532
NE,North Eastern Railway,2025,1,January,679,196,2113,217,1611304,223553,1387751
NF,Northeast Frontier Railway,2025,1,January,695,128,2373,179,1545863,228734,1317129
NR,Northern Railway,2025,1,January,2456,336,3950,471,2819216,130655,2688561
NW,North Western Railway,2025,1,January,653,78,1470,174,1676071,138765,1537306
SB,South East Central Railway,2025,1,January,569,67,1229,195,781699,99178,682521
SC,South Central Railway,2025,1,January,677,87,1799,179,1114510,159321,955189
SE,South Eastern Railway,2025,1,January,462,76,918,154,932955,111200,821755
SR,Southern Railway,2025,1,January,2017,215,4506,348,2323805,667866,1655939
SW,South Western Railway,2025,1,January,620,94,1715,140,1837158,173665,1663493
WC,West Central Railway,2025,1,January,781,62,1182,137,1052830,98232,954598
WR,Western Railway,2025,1,January,1758,178,4157,525,2988563,417875,2570688
ALL,All India,2025,2,February,142289,29697,222777,45718,176267467,33207268,143060199
CR,Central Railway,2025,2,February,1303,179,2786,296,1554339,270858,1283481
EC,East Central Railway,2025,2,February,909,99,1766,2145,1614081,196858,1417223
EO,East Coast Railway,2025,2,February,216,183,655,183,483608,54109,429499
ER,Eastern Railway,2025,2,February,1434,119,1658,150,1422189,229473,1192716
INTERNET,Internet / Online Booking,2025,2,February,128515,27731,193710,40535,154905002,30398837,124506165
KR,Konkan Railway,2025,2,February,94,25,174,28,211235,8913,202322
NC,North Central Railway,2025,2,February,432,74,895,120,600106,86215,513891
NE,North Eastern Railway,2025,2,February,514,179,1692,195,1215570,203300,1012270
NF,Northeast Frontier Railway,2025,2,February,648,106,2206,150,1444793,193738,1251055
NR,Northern Railway,2025,2,February,1933,320,3115,446,2318827,123313,2195514
NW,North Western Railway,2025,2,February,477,62,1118,136,1197931,113785,1084146
SB,South East Central Railway,2025,2,February,477,59,1043,168,670461,87782,582679
SC,South Central Railway,2025,2,February,572,71,1589,147,937644,123439,814205
SE,South Eastern Railway,2025,2,February,440,59,885,117,922900,85684,837216
SR,Southern Railway,2025,2,February,1728,161,3886,270,1988933,485115,1503818
SW,South Western Railway,2025,2,February,456,76,1239,113,1396936,134535,1262401
WC,West Central Railway,2025,2,February,642,60,982,135,856742,98025,758717
WR,Western Railway,2025,2,February,1499,134,3378,384,2526170,313289,2212881
ALL,All India,2025,3,March,139831,31876,221347,50748,179566153,35857151,143709002
CR,Central Railway,2025,3,March,1350,190,2796,331,1656144,302572,1353572
EC,East Central Railway,2025,3,March,957,117,1960,2476,1712564,237244,1475320
EO,East Coast Railway,2025,3,March,254,173,778,173,581799,50997,530802
ER,Eastern Railway,2025,3,March,1513,132,1852,166,1484392,243125,1241267
INTERNET,Internet / Online Booking,2025,3,March,125527,29777,190808,44968,157573413,32720784,124852629
KR,Konkan Railway,2025,3,March,97,23,176,25,207075,8543,198532
NC,North Central Railway,2025,3,March,461,80,1005,128,617263,95318,521945
NE,North Eastern Railway,2025,3,March,621,199,2027,213,1431991,211775,1220216
NF,Northeast Frontier Railway,2025,3,March,649,113,2261,162,1427223,213801,1213422
NR,Northern Railway,2025,3,March,1934,314,3252,434,2177173,119149,2058024
NW,North Western Railway,2025,3,March,501,64,1155,138,1260528,116132,1144396
SB,South East Central Railway,2025,3,March,463,66,997,198,651461,97791,553670
SC,South Central Railway,2025,3,March,574,65,1544,139,892266,111902,780364
SE,South Eastern Railway,2025,3,March,415,63,849,126,866673,96252,770421
SR,Southern Railway,2025,3,March,1772,199,4033,335,2082413,614737,1467676
SW,South Western Railway,2025,3,March,516,76,1363,115,1553251,138449,1414802
WC,West Central Railway,2025,3,March,681,64,990,149,912763,97573,815190
WR,Western Railway,2025,3,March,1546,161,3501,472,2477761,381007,2096754
ALL,All India,2025,4,April,168694,39005,272936,61957,215207748,44871314,170336434
CR,Central Railway,2025,4,April,1587,229,3335,380,1904636,354194,1550442
EC,East Central Railway,2025,4,April,1153,137,2267,2869,2043253,264855,1778398
EO,East Coast Railway,2025,4,April,300,233,900,233,686525,72871,613654
ER,Eastern Railway,2025,4,April,1872,148,2277,180,1817938,276374,1541564
INTERNET,Internet / Online Booking,2025,4,April,150811,36555,234804,55280,187729580,41254171,146475409
KR,Konkan Railway,2025,4,April,119,29,222,31,262482,10624,251858
NC,North Central Railway,2025,4,April,612,92,1276,152,801201,110478,690723
NE,North Eastern Railway,2025,4,April,735,196,2413,214,1664662,217912,1446750
NF,Northeast Frontier Railway,2025,4,April,750,153,2632,212,1763624,292230,1471394
NR,Northern Railway,2025,4,April,2500,345,4231,485,2907002,126896,2780106
NW,North Western Railway,2025,4,April,671,87,1547,190,1793200,157800,1635400
SB,South East Central Railway,2025,4,April,638,79,1390,231,888842,118052,770790
SC,South Central Railway,2025,4,April,692,82,1851,166,1090776,146980,943796
SE,South Eastern Railway,2025,4,April,537,77,1110,152,1065443,111508,953935
